gene,pval,mean_leve,mean_grave,log2fc,log2fc_div
FBXO46,0.4135078983692604,6.919763916214285,6.858207586413793,-0.011257145737004759,-0.012891244928295329
SP140,0.4135294570338034,8.79541703875,8.920448535517242,0.018298434613604364,0.020364267792092064
SHC4,0.4135305128476344,2.1960125359642855,2.2557300372068965,0.026708010258378767,0.038708128220899904
NGRN,0.4136171680415358,7.437229299151785,7.341858713517241,-0.016400432796498166,-0.01861990140807774
RNF13,0.4137513654755154,9.200662171714285,9.269437386086206,0.009694338200637809,0.010744080613000046
TXNDC12,0.41378446459336715,8.705376408339287,8.768610407827587,0.009369185566793892,0.010441552538472603
SERPINA2,0.4138164856510279,2.4917884659285714,2.5490329423793097,0.02345980314180851,0.03276841850456341
PSORS1C3,0.41384109735253494,2.5181377667857143,2.4233764465517242,-0.039392033515568636,-0.055338684755964804
PALB2,0.41385606950028386,5.017944355660715,5.080986631206897,0.015034650832105534,0.01801219551769587
ANKS4B,0.4138823379927421,3.058860149214286,3.003052875172414,-0.019973959859010293,-0.026564271676018342
LOC100288643,0.4140000161088965,3.4243700615535713,3.3613988319310346,-0.02068113503199287,-0.02677688854434971
MYLIP,0.41403282775521555,7.080930900119047,7.1762400388160925,0.016916054781244583,0.019289110115554724
OLFM1,0.41409770617322605,2.987022781922619,3.0627100424712643,0.027130553473600827,0.036100547312293514
SHFM1,0.4141831426115664,7.7978628469642866,7.730474589758622,-0.011093029653022057,-0.012521793167573035
LOC100132169,0.4142832501671413,2.9425040632857145,2.8401991439310343,-0.03793111416320083,-0.05105231792369498
OAF,0.4143064763136326,5.130183165321428,5.057824731637931,-0.017130343336758447,-0.02049329168443335
GOLGA2B,0.4145491311226216,4.326888083410714,4.256123794137931,-0.019293715616350404,-0.02378969153797971
RAB24,0.4145608466592544,9.946433004035713,9.878455264413791,-0.008987121837944478,-0.009893779059189393
LRRC18,0.4147547860081382,2.4340391094821427,2.476872671068966,0.017883764155723902,0.025167356598259187
EEFSEC,0.4149422589917856,4.767992413535715,4.71881655075862,-0.01235263979870238,-0.01495685410531752
PEG3AS,0.41497992153313057,3.7813000446071428,3.884372964379311,0.03077042377170791,0.03879939898856652
INSL3,0.4149901327517074,5.488653255309524,5.563445581275861,0.01653430611887785,0.019526456750970048
ZNF302,0.41504785764386154,5.55913672902381,5.658824752643678,0.021761622532324054,0.025641593349726072
AKR1B10,0.4151225554027502,3.330920870642857,3.401561982482758,0.02334177039717833,0.030276296052159986
VWDE,0.415169840110688,2.679542717,2.7830123482931035,0.04000900213117364,0.054660494425005327
EDARADD,0.4152493056214649,2.32810341375,2.277813465896552,-0.021966507107630928,-0.03150553673011649
YIPF3,0.41527985943308665,7.820497079178572,7.733177459758621,-0.014353304857550597,-0.016198989520522296
TGOLN2,0.41532417654246057,7.685139254453572,7.556622244041381,-0.021507580591160647,-0.024329897544372266
LOC728163,0.415390661277904,4.839657924875,4.711885642068966,-0.031916766087582094,-0.038600553760744456
TAC4,0.41545271186102506,4.993172730571429,5.080284434655171,0.020818859528253242,0.024952457595057622
GRAMD3,0.4154581754519726,4.098267656919643,4.207224179948276,0.030507402331000577,0.03785448396902264
